id;name;speciality;logo;logo_content_type;description;website;location;info_email;phone;first_contact_date
1;phew barrel;for;../fake-data/blob/hipster.png;image/png;excepting;grouse psst coolly;remote when trample;humming throughout clearly;885.508.2807 x81950;2024-03-04
2;wavy;clearly;../fake-data/blob/hipster.png;image/png;ouch oh;corporal cultured among;aha damaged mechanically;relish irritating fluffy;1-626-809-4323 x31251;2024-03-04
3;inside geez hmph;concerned cool whenever;../fake-data/blob/hipster.png;image/png;belated past;trot fishbone outside;glittering solder;guess gadzooks;573.234.7903 x7450;2024-03-04
4;fusarium upward;yesterday ah duh;../fake-data/blob/hipster.png;image/png;uh-huh village;indeed where than;broadly acidly smarten;giant bustling;1-277-339-5423 x297;2024-03-04
5;ack inasmuch phew;duel;../fake-data/blob/hipster.png;image/png;along light instead;underneath miscount tart;because;suckle;1-293-890-6346;2024-03-04
6;apud muddle interlock;till;../fake-data/blob/hipster.png;image/png;as forget;fooey;happy-go-lucky;gosh than nor;534-808-1146 x76673;2024-03-04
7;wiring;vigorous phooey;../fake-data/blob/hipster.png;image/png;until gleeful extra-small;alive;maintenance fooey;tap authorized amidst;377.681.9407 x0781;2024-03-04
8;brr up;up when merrily;../fake-data/blob/hipster.png;image/png;forenenst cube;hm given;out validate joyfully;light;913.765.1814 x935;2024-03-04
9;provided waterfront;blah optimistically per;../fake-data/blob/hipster.png;image/png;justly whoa;deeply;lest snarling dilute;stealthily redesign inflict;1-409-334-0468 x29640;2024-03-04
10;revenge;oh borrowing;../fake-data/blob/hipster.png;image/png;complex plain hard;helplessly;immediately or coaxingly;fooey;903-473-5680 x6325;2024-03-04
