id;diploma;establishment;mention;start_date;end_date;duration;location
1;ha from;yahoo;not yahoo mockingly;2024-03-04;2024-03-04;1353.47;afore
2;at slowly;now;hilarious;2024-03-04;2024-03-04;11189.42;who apud
3;phew;ah;barring unless;2024-03-04;2024-03-04;5983.78;solitaire
4;whose absent;gracefully minus;aw excepting;2024-03-04;2024-03-04;7146.19;pfft
5;delirious what pfft;provided jumble;besides effect;2024-03-04;2024-03-04;16952.5;meh boo
6;hospitality;the who;healthily anger;2024-03-04;2024-03-04;20633.92;furthermore yahoo
7;crafty try;bah;fabulous gah investigation;2024-03-04;2024-03-04;13084.38;along harmless sturdy
8;ravage times cringe;cradle;promptly bleakly;2024-03-04;2024-03-04;14725.85;punctually
9;proponent;sanitise aboard germinate;but for little;2024-03-04;2024-03-04;17222.03;regular
10;boo school;since value;imperturbable wetly speaking;2024-03-04;2024-03-04;30411.12;geez unless misreading
