id;jhi_from;recipients;subject;text;type;date;snoozed_to;folder;signature_text;signature_image;signature_image_content_type
1;elegantly unnecessarily;elementary rocket traverse;roughly;not;INBOX;2024-03-04T20:37:58;2024-03-04T09:08:43;enormously;pish;../fake-data/blob/hipster.png;image/png
2;round euthanise concerned;recent essential after;steep urgently;colorfully deep ah;DRAFT;2024-03-04T01:47:24;2024-03-04T12:01:06;meanwhile consequently till;maintenance walkway;../fake-data/blob/hipster.png;image/png
3;herring less ouch;ill-fated schlepp openly;frenetically;extemporise;SENT;2024-03-04T10:02:35;2024-03-04T21:08:34;oh for;whoever without bah;../fake-data/blob/hipster.png;image/png
4;pish;whoever universe yak;ligate;searchingly abandoned;INBOX;2024-03-04T10:00:36;2024-03-04T17:01:55;pish within best-seller;lion;../fake-data/blob/hipster.png;image/png
5;carefully implementation till;absent visit;how;barring overcharge;DRAFT;2024-03-04T02:09:19;2024-03-04T10:12:56;lest valid bookmark;meaningfully ugh tinted;../fake-data/blob/hipster.png;image/png
6;truthful;so;pfft;envious brr;DRAFT;2024-03-04T17:26:25;2024-03-04T15:44:11;beyond what;beneath partial kindly;../fake-data/blob/hipster.png;image/png
7;settlement;passionate;crook foal knowingly;too instead;DRAFT;2024-03-04T15:04:51;2024-03-04T23:05:20;brr qua;who cheerfully drat;../fake-data/blob/hipster.png;image/png
8;uselessly lustrous lamb;conquer;rename;curiously confine;SENT;2024-03-04T13:20:44;2024-03-04T16:47:59;pertinent zowie drat;mare;../fake-data/blob/hipster.png;image/png
9;summit;gosh;yet punctually;circa tight;INBOX;2024-03-04T00:53:57;2024-03-04T20:30:23;woot when atop;ferociously actually;../fake-data/blob/hipster.png;image/png
10;ken herb quaintly;with whereas;police beneath;whimsical;DRAFT;2024-03-04T04:07:37;2024-03-03T23:59:08;duh how;meh;../fake-data/blob/hipster.png;image/png
