id;title;external_participants;date;duration;description;priority
1;furthermore;disability via;2024-03-04T09:20:12;4122;after pish corral;MEDUIM
2;searchingly;astride because;2024-03-04T16:10:28;20647;impartial dairy qua;HIGH
3;furthermore past restfully;partial visible;2024-03-04T01:35:17;9254;incidentally this while;HIGH
4;before;pfft pfft;2024-03-04T07:55:56;6515;fruit awkwardly;HIGH
5;woot;elegantly;2024-03-04T02:03:33;2478;swiftly oof integrity;HIGH
6;during careen avow;till;2024-03-04T21:12:31;17270;around;HIGH
7;yowza cue;apropos;2024-03-04T01:36:52;32647;justly into;HIGH
8;sweetly acidly;before warfare condemn;2024-03-04T08:52:52;24592;finally;LOW
9;psst manufacturing faithfully;since oof apprehension;2024-03-04T07:38:37;29819;pair;MEDUIM
10;down;fearful violet naive;2024-03-04T12:33:00;5206;around ew near;MEDUIM
