id;company;company_site;role;start_date;end_date;duration;location;tasks
1;overconfidently;because rivet;in;2024-03-04;2024-03-04;16805.29;ethyl;duh
2;although who although;before swim fork;impressionable;2024-03-04;2024-03-04;24606.47;whereas whereas chronicle;outgrow
3;tinge cute until;fervently;warmly raid clasp;2024-03-04;2024-03-03;5179.17;geez;grizzle
4;once since guestbook;yippee;rave;2024-03-04;2024-03-04;24929.72;even ionize;anti pure
5;whereas;guilty labour;hopelessly actually ferry;2024-03-04;2024-03-04;16606.91;victoriously housing;muster
6;keen studious overvalue;irritably;tantalise;2024-03-04;2024-03-04;16663.81;adventurously forenenst worth;whoever
7;but till;forenenst where mmm;jealously roll as;2024-03-04;2024-03-04;27444.13;upside-down;zowie heavy finished
8;quarrelsomely;practise demobilise kissingly;aged woot;2024-03-04;2024-03-04;10026.77;up hence;however
9;into ulcerate;dependable oleo;geez;2024-03-04;2024-03-04;10402.56;aluminum yet as;since suit
10;unfolded yum tracksuit;urgently specific midst;wet offensively;2024-03-04;2024-03-04;6807.6;miserably;down finally
