id;jhi_from;recipients;text;type;date;snoozed_to;signature_text;signature_image;signature_image_content_type
1;venerated middle;worth as utterly;finally energetically blank;SENT;2024-03-04T05:58:11;2024-03-04T00:53:19;miss erupt ore;../fake-data/blob/hipster.png;image/png
2;questioningly favorite;bravely dread known;moult addle yum;INBOX;2024-03-04T16:15:59;2024-03-04T01:52:44;via hearty;../fake-data/blob/hipster.png;image/png
3;lest;except exhume;meh;DRAFT;2024-03-04T04:37:54;2024-03-04T10:49:52;aw from;../fake-data/blob/hipster.png;image/png
4;suddenly;fiercely;oof on;DRAFT;2024-03-04T02:44:56;2024-03-04T05:30:26;beside;../fake-data/blob/hipster.png;image/png
5;finally;what parole;rancher quickly;INBOX;2024-03-04T04:07:47;2024-03-04T05:45:36;wrongly aha;../fake-data/blob/hipster.png;image/png
6;barring pish;partially deeply;ultimately reconstitute memorialize;SNOOZED;2024-03-04T09:01:18;2024-03-04T07:06:43;ew absent clean;../fake-data/blob/hipster.png;image/png
7;indeed unbearably;or for;locomotive anenst;DRAFT;2024-03-04T15:20:08;2024-03-04T02:06:28;incidentally idealistic between;../fake-data/blob/hipster.png;image/png
8;juicy;anti uh-huh;and creative auditorium;SENT;2024-03-04T19:45:21;2024-03-04T05:55:23;between with;../fake-data/blob/hipster.png;image/png
9;gah swiftly;unbearably;ratio;SNOOZED;2024-03-04T14:29:20;2024-03-04T10:31:22;scary;../fake-data/blob/hipster.png;image/png
10;even uh-huh however;component;evenly ouch mellow;SNOOZED;2024-03-04T01:21:49;2024-03-04T01:16:02;to but;../fake-data/blob/hipster.png;image/png
